level_0,index,text,labels
758,772,صحه تسجيل 861 حاله ايجابيه جديده بفيروس كورو و 46 حاله وفاه قاهره في 4 يونيو ا ش ا اعلنت وزاره صحه سكان جمعه عن خروج 781 متعاف من فيروس كورو من مستشفي وذلك بعد تلقي رعايه طبيه 99 اهلي,A
759,773,صحه تسجيل 956 حاله ايجابيه جديده بفيروس كورو و40 حاله وفاه قاهره في اول من يونيو ا ش ا اعلنت وزاره صحه سكان ثلاثاء عن خروج 711 متعاف من فيروس كورو من مستشفي وذلك بعد تلقي رعايه اهلي,A
760,774,صحه 984 اصابه جديده بكورو و49 وفاه وحال تعافي تقفز الي 192112 حاله قاهره في اول من يونيو ا ش ا اعلنت وزاره صحه سكان عن خروج 780 متعاف من فيروس كورو من مستشفي وذلك بعد تلقي رعايه طبيه لازمه 3 اهلي,A
761,775,يا سلام ع تهاب حلق اللي بطيب منه اسبوع و بيرجع تاني,I
762,776,مافي اسوء من الم تهاب حلق,I
763,777,تصاحب نزل برد اعراض مثل تهاب حلق وسيل انف وبالطبع مزعجه ومرهقه تعرف علي كيفيه علاج نزل برد وكيفيه وقايه من نزل برد ايضا صحتك حياتك كل يوم معلومه طبيه 3 7 2,A
764,778,اعراض ارتجاع سعال جاف مستمر تهاب حلق طعم لاذع في الفم وجفاف راءحه كريهه في الفم صعوبه بلع حرقه معده الم وحرق صدر شعور انتفاخ شعور غثي تلف اسن فقد وزن بشكل ملحوظ بحه صوت صفير صدر,A
765,779,بكتير نافعه طببيعيه موجوده في بعض مناطق جسم وعمل مفيد لجسم انس وتسبب تهاب اذا انتقلت الي مكان اخر غير مكان تواجد طبيعي في جسم تسبب تهاب مثلا لو انتقلت الي من الفم الي حلق اوالقصبه هواءيه تسبب التهاب حلق او جهاز تنفسي,A
766,780,مافي اسوء من تهاب حلق الي ينكد عليك يوم كامل,I
767,781,تهاب واحتق بسقف حلق اتعب,I
768,782,يعني تهاب حلق ماجا الا وانا فاجازه,I
769,783,غرغره ماء دافء مع ملعقه صغيره من ملح اربع مرات يوم هو علاج افضل لتهدءه تهاب حلق,A
770,784,ما اكره بحياتي قد تهاب حلق سخونه سوا اهه بس,I
771,785,وزاره صحه تعلن تسجيل 83 حاله اصابه جديده ب فيروس كورو وتعافي 75 حاله منطقه رياض تسجل سبت اكثر عدد اصاب ب33 حاله,A
772,786,صحه سعوديه تسجل 83 اصابه جديده ب فيروس كورو و7 حال وفاه و75 متعاف خلال 24 ساعه صحيفه خليج خليج خمس عاما 1 0,A
773,787,83 اصابه جديده ب فيروس كورو في سعوديه و 7 وفي 9 3 عاجل 0 2,A
774,788,وزاره صحه تعلن تسجيل 83 اصابه جديده ب فيروس كورو 75 حاله تعافي جديده 7 حال وفاه جديده سعوديه,A
775,789,وزاره صحه تسجيل 112 حاله جديده مءكده ب فيروس كورو ضمن مجتمع و35 حاله ضمن مسافر جريده وطن قطريه,A
776,790,مسجد حرام لم يشهد تسجيل اي اصابه ب فيروس كورو منذ بدء جاءحه وحتي الان بفضل الله ثم بتطبيق اجراء وقاءيه سعوديه عشتي فخر مسلم حمدلله علي نعمه سعوديه,A
777,791,من اجل سلامت لا تتاخر في ابلاغ عن اصابتك هيءه وطنيه لاداراه طوارء ازم كوارث تطلق حمله لا تتاخر تهدف الي حمايه كبار السن من خطر اصابه ب فيروس كورو انت مسءول نلتزم لننتصر 3,A
778,792,شءون حرم حرم مكي لم يسجل اي اصاب ب كورو منذ بدء جاءحه فيديو 6 1 شءون حرم حرم مكي فيروس كورو عاجل مكه 5,A
779,793,انهت قواعد عسكريه امريكيه في ياب اسبوع عمل استمر اربعه ايام بعد عيد عمال ب 58 حاله اصابه جديده ب 19 وهو مرض جهاز تنفسي ناتج عن فيروس كورو,A
780,794,عاجل صحه تسجيل 433 حاله ايجابيه جديده ب فيروس كورو و11 وفاه صدي بلد بلد 8,A
781,795,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 5 6 6,A
782,796,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 6 2,A
783,797,ابلغ اتحاد سعودي لكره قدم انديه باعفاء لاعب دولي عاءد من مشاركه مع منتخب بلاد في ايام فيفا من حجر صحي لمن تلقي جرعتي لقاح فيروس كارو اكتفاء بحضور كشف قبل قدومه الي سعوديه ب 24 ساعه رياضيه 3,A
784,798,وزاره صحه تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد اجمالي عدد حال 410 693 حاله كويت كورو كويت 3,A
785,799,دراس اميركيه غير مطعم اكثر عرضه وفاه ب كورو 11 مره اظهرت دراس طبيه اميركيه ان اشخاص غير مطعم ضد فيروس كورو مستجد اكثر عرضه وفاه جراء اصابه به بمقدار 11 مره مقارنه مطعم 1,A
786,800,دراس اميركيه غير مطعم اكثر عرضه وفاه ب كورو 11 مره اظهرت دراس طبيه اميركيه ان اشخاص غير مطعم ضد فيروس كورو مستجد اكثر عرضه وفاه جراء اصابه به بمقدار 11 مره مقارنه مطعم 0,A
787,801,وزاره صحه تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله,A
788,802,عاجل سلط صحيه امريكيه تءكد ان مطعم كامل ضد فيروس كورو اقل عرضه وفاه ب 11 مره من غير مطعم صحيفه خليج خليج خمس عاما,A
789,803,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 3 0,A
790,804,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 1,A
791,805,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 0,A
792,806,وزاره صحه تعلن عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 2,A
793,807,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 0 2,A
794,808,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله كورو كويت 8,A
795,809,وزاره صحه 62 اصابه جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه كويت كوفيد19 19 وزاره اعلام اخبار 0,A
796,810,وزاره صحه 62 حاله جديده وتسجيل 154 شفاء و 1 حاله وفاه جديده ب فيروس كورو 5,A
797,811,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله,A
798,812,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 7,A
799,813,سادسه عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه,A
800,814,صدي عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه 3 4,A
801,815,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 5 1,A
802,816,عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 و حاله وفاه جديده خلال ال 24 ساعه ماضيه هوت لاين 2,A
803,817,عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه 92 0,A
804,818,شعله عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 و حاله وفاه جديده خلال ال 24 ساعه ماضيه 5 4,A
805,819,بيداء عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه 3,A
806,820,عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه اصحاب همم 5 3,A
807,821,وزاره صحه تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 2 2,A
808,822,لايف جهره عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه 3,A
809,823,عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه فجر جديد 53,A
810,824,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 3 2 0,A
811,825,عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه,A
812,826,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 3 4 6,A
813,827,نخبه عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه 8 3,A
814,828,صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه 1,A
815,829,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله,A
816,830,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 5,A
817,831,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 9 8,A
818,832,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 9,A
819,833,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 03,A
820,834,وزاره صحه تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو كويت مطلاع نيوز 2,A
821,835,عاجل وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 و حاله وفاه جديده خلال ال 24 ساعه ماضيه 1 5 6,A
822,836,وزاره صحه تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد اجمالي عدد حال 410 693 حاله كويت كورو كويت 1 7 0,A
823,837,سلام وزاره صحه اصابه 62 حاله جديده ب فيروس كوفيد19 وتسجيل 154 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه 1,A
824,838,حدث تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19,A
825,839,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 4 1 4 7,A
826,842,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 0 2 261,A
827,845,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 2703,A
828,846,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده ليصبح اجمالي عدد حال 410 693 حاله تسجيل 154 حاله شفاء 1 حاله وفاه جديده ب فيروس كورو مستجد 19 كويت راعي حرشا احمد فهد 3,A
829,847,نسبه اصاب كورو عند ادني مستويات و38 حاله في عنايه كوفيد وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد 7 9,A
830,848,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله كويت شارع صحافه 1,A
831,849,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله كويت 4,A
832,850,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 0 0,A
833,851,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 7 7,A
834,852,تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 4 03,A
835,854,اعلنت وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 4,A
836,856,خلف كواليس تعلن وزاره صحه عن تاكيد اصابه 62 حاله جديده وتسجيل 154 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 693 حاله 0 8,A
837,858,وزاره صحه تعلن تسجيل 102 حاله اصابه جديده ب فيروس كورو وتعافي 74 حاله منطقه رياض تسجل جمعه اكثر عدد اصاب ب38 حاله 6 0 5,A
838,859,عاجل منطقه شرقيه تسجل ثالث اعلي اصاب فيروس كورو ب 7 اصاب فقط,A
839,860,عاجل منطقه مكه تسجل ثاني اعلي اصاب فيروس كورو ب 19 اصابه,A
840,861,عاجل منطقه رياض تسجل اعلي اصاب فيروس كورو ب 38 اصابه,A
841,862,عاجل وزاره صحه تواصل تسجيل انخفاضا في اصاب فيروس كورو ب 102 حاله خلال ال 24 ساعه ماضيه فيما بلغت حال تعاف 74 حاله 2,A
842,863,102 اصابه جديده ب فيروس كورو في سعوديه و 6 وفي 67 0,A
843,864,وزاره صحه تعلن تسجيل 102 اصابه جديده ب فيروس كورو 74 حاله تعافي جديده 6 حال وفاه جديده سعوديه,A
844,865,خلال 24 ساعه 5 وفي و2311 اصابه جديده ب فيروس كورو في فلسط 3 3 1,A
845,866,شءون حرم حرم مكي لم يسجل اي اصاب ب كورو منذ بدء جاءحه فيديو 6 1 شءون حرم حرم مكي فيروس كورو عاجل مكه,A
846,867,عاجل صحه تسجيل 413 حاله ايجابيه جديده ب فيروس كورو و 12 حاله وفاه صدي بلد بلد 3,A
847,868,عاجل 413 اصابه جديده ب فيروس كورو و12 وفاه 9 8,A
848,869,اصيبت ب فيروس كورو 5 مرات دكتوره حنان لطفي تكشف تفاصيل مرض صدي بلد بلد 41,A
849,870,وزاره صحه 69 اصابه جديده وتسجيل 180 حاله شفاء وحاله وفاه جديده ب فيروس كوفيد19 خلال ساع ال24 ماضيه كويت كوفيد19 19 وزاره اعلام اخبار 802 4,A
850,871,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 0,A
851,872,صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 2 2,A
852,873,صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 1 7,A
853,874,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 2,A
854,875,صحه 69 اصابه جديده ب فيروس كورو و حاله وفاه واحده شفاء 180 حاله واجمالي متعاف 406701 عبدلي نيوز 5 3,A
855,876,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 7 1,A
856,877,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله كورو كويت 2,A
857,878,صحه اصابه 69 حاله جديده ب فيروس كوفيد19 وتسجيل 180 حاله شفاء و حاله وفاه جديده خلال ال 24 ساعه ماضيه 7 2,A
858,879,اعلنت وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 3,A
859,880,وزاره صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 0 349,A
860,881,وزاره صحه تعلن عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 0,A
861,883,وزاره صحه تعلن عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 1 9,A
862,884,وزاره صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 5 5 0,A
863,885,وزاره صحه تعلن عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله,A
864,886,وزاره صحه تاكيد اصابه 69 حاله جديده تسجيل 180 حاله شفاء 1 حاله وفاه جديده ب فيروس كورو اجمالي عدد حال مصابه 410 631 حاله,A
865,888,وزاره صحه 69 اصابه جديده وتسجيل 180 حاله شفاء وحاله وفاه جديده ب فيروس كوفيد19 خلال ساع ال24 ماضيه كويت كوفيد19 19 وزاره اعلام اخبار 2,A
866,889,وزاره صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد اجمالي عدد حال 410 631 حاله كورو كويت كويت 8,A
867,890,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 9,A
868,891,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 8 7 0640,A
869,892,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 7,A
870,893,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله,A
871,894,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله سلطه رابعه 5 9,A
872,896,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله تاسعه 0 0,A
873,897,وزاره صحه تعلن عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 8,A
874,898,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله كويت انقذ دانه مساعيد قان مرزوق مرفوض يسقط نقاب 6 4,A
875,899,وزاره صحه اصابه 69 حاله جديده و وفاه واحده ب فيروس كورو و40 في عنايه مركزه,A
876,900,وزاره صحه اصابه 69 حاله جديده و وفاه واحده ب فيروس كورو و40 في عنايه مركزه 8,A
877,901,مستقله تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 كويت انقذ دانه مساعيد قان مرزوق مرفوض يسقط نقاب خميس ونيس حولي بارك حاله,A
878,902,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 85 0 5,A
879,903,سادسه عاجل وزاره صحه تاكيد اصابه 69 حاله جديده و 1 حاله وفاه جديده ب فيروس كورو 1 5 9,A
880,904,وزاره صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو 747,A
881,905,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 9,A
882,906,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله,A
883,907,عاجل وزاره صحه تاكيد اصابه 69 حاله جديده و 1 حاله وفاه جديده ب فيروس كورو مستجد هوت لاين 4,A
884,908,وزاره صحه اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 4,A
885,909,عاجل وزاره صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد اصحاب همم 8,A
886,910,عاجل وزاره صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد فجر جديد 3,A
887,911,وزاره صحه 69 حاله جديده وتسجيل 180حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو 6,A
888,912,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 9 0 213,A
889,913,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 89,A
890,914,عاجل وزاره صحه تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد,A
891,915,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 5 1,A
892,916,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله كويت 0,A
893,917,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده ليصبح اجمالي عدد حال 410 631 حاله تسجيل 180 حاله شفاء 1 حاله وفاه جديده ب فيروس كورو مستجد 19 كويت انقذ دانه مساعيد كورو قان مرزوق مرفوض 4 6,A
894,918,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 6 68,A
895,919,وزاره صحه تعلن عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله كويت 5,A
896,920,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 4 1 6 5,A
897,921,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 37 2,A
898,922,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 1,A
899,923,صحه اصابه 69 حاله جديده وحاله وفاه جديده ب فيروس كورو 5405 4,A
900,924,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله 2 1,A
901,925,تعلن وزاره صحه عن تاكيد اصابه 69 حاله جديده وتسجيل 180 حاله شفاء و 1 حاله وفاه جديده ب فيروس كورو مستجد 19 ليصبح اجمالي عدد حال 410 631 حاله كويت شارع صحافه 6,A
